userName,content,score,at,cleaned_content,normalized_content,lower_content,tokens,stemmed_content,label
Efri Hoki,"Mudah2an mendaftarnya mudah, sampai sekarang belum dapat barcode",5,2024-10-07 12:20:03,Mudahan mendaftarnya mudah sampai sekarang belum dapat barcode,Mudahan mendaftarnya mudah sampai sekarang belum dapat barcode,mudahan mendaftarnya mudah sampai sekarang belum dapat barcode,"['mudahan', 'mendaftarnya', 'mudah', 'sampai', 'sekarang', 'belum', 'dapat', 'barcode']",mudah daftar mudah sampai sekarang belum dapat barcode,
Jam,Ketika memasukkan kode verifikasi lambat sekali proses nya. Terdapat beberapa kali gagal. Sebelum berhasil. Tolong kerja sama Dengan PIHAK GOOGLE. CARA BIKIN APLIKASI YG BAGUS. GAK LEMOT,1,2024-10-07 12:19:04,Ketika memasukkan kode verifikasi lambat sekali proses nya Terdapat beberapa kali gagal Sebelum berhasil Tolong kerja sama Dengan PIHAK GOOGLE CARA BIKIN APLIKASI YG BAGUS GAK LEMOT,Ketika memasukkan kode verifikasi lambat sekali proses nya Terdapat beberapa kali gagal Sebelum berhasil Tolong kerja sama Dengan PIHAK GOOGLE CARA BIKIN APLIKASI YG BAGUS GAK LEMOT,ketika memasukkan kode verifikasi lambat sekali proses nya terdapat beberapa kali gagal sebelum berhasil tolong kerja sama dengan pihak google cara bikin aplikasi yg bagus gak lemot,"['ketika', 'memasukkan', 'kode', 'verifikasi', 'lambat', 'sekali', 'proses', 'nya', 'terdapat', 'beberapa', 'kali', 'gagal', 'sebelum', 'berhasil', 'tolong', 'kerja', 'sama', 'dengan', 'pihak', 'google', 'cara', 'bikin', 'aplikasi', 'yg', 'bagus', 'gak', 'lemot']",ketika masuk kode verifikasi lambat sekali proses nya dapat beberapa kali gagal belum hasil tolong kerja sama dengan pihak google cara bikin aplikasi yg bagus gak lot,
Arif Kurniawan,"Kacau daftar ga bisa bisa udah berhari hari dicoba padahal data udah bener semua, gimana sih niat bikin aplikasi enggak!?",1,2024-10-07 12:08:21,Kacau daftar ga bisa bisa udah berhari hari dicoba padahal data udah bener semua gimana sih niat bikin aplikasi enggak,Kacau daftar tidak bisa bisa udah berhari hari dicoba padahal data udah bener semua gimana sih niat bikin aplikasi enggak,kacau daftar tidak bisa bisa udah berhari hari dicoba padahal data udah bener semua gimana sih niat bikin aplikasi enggak,"['kacau', 'daftar', 'tidak', 'bisa', 'bisa', 'udah', 'berhari', 'hari', 'dicoba', 'padahal', 'data', 'udah', 'bener', 'semua', 'gimana', 'sih', 'niat', 'bikin', 'aplikasi', 'enggak']",kacau daftar tidak bisa bisa udah hari hari coba padahal data udah bener semua gimana sih niat bikin aplikasi enggak,
Ahmad gazali Rahman,"Saya sudah mendaftar dan sudah terverifiskasi tetapi pada saat ingin masuk mengambil data Code QR tidak bisa keluar, alasan nya data anda belum terdaftar.. Padahal sudah terdaftar di My Pertamina",3,2024-10-07 11:54:29,Saya sudah mendaftar dan sudah terverifiskasi tetapi pada saat ingin masuk mengambil data Code QR tidak bisa keluar alasan nya data anda belum terdaftar Padahal sudah terdaftar di My Pertamina,Saya sudah mendaftar dan sudah terverifiskasi tetapi pada saat ingin masuk mengambil data Code QR tidak bisa keluar alasan nya data anda belum terdaftar Padahal sudah terdaftar di My Pertamina,saya sudah mendaftar dan sudah terverifiskasi tetapi pada saat ingin masuk mengambil data code qr tidak bisa keluar alasan nya data anda belum terdaftar padahal sudah terdaftar di my pertamina,"['saya', 'sudah', 'mendaftar', 'dan', 'sudah', 'terverifiskasi', 'tetapi', 'pada', 'saat', 'ingin', 'masuk', 'mengambil', 'data', 'code', 'qr', 'tidak', 'bisa', 'keluar', 'alasan', 'nya', 'data', 'anda', 'belum', 'terdaftar', 'padahal', 'sudah', 'terdaftar', 'di', 'my', 'pertamina']",saya sudah daftar dan sudah terverifiskasi tetapi pada saat ingin masuk ambil data code qr tidak bisa keluar alas nya data anda belum daftar padahal sudah daftar di my pertamina,
Mazhar Rahmadi,Ok Mantap 👍,5,2024-10-07 11:43:34,Ok Mantap ,Ok Mantap ,ok mantap ,"['ok', 'mantap']",ok mantap,
ZaidanChannel,Not bad,5,2024-10-07 11:29:46,Not bad,Not bad,not bad,"['not', 'bad']",not bad,
hambalie salam,Semoga bermanfaat dan mudah pelayanan nya,3,2024-10-07 11:03:51,Semoga bermanfaat dan mudah pelayanan nya,Semoga bermanfaat dan mudah pelayanan nya,semoga bermanfaat dan mudah pelayanan nya,"['semoga', 'bermanfaat', 'dan', 'mudah', 'pelayanan', 'nya']",moga manfaat dan mudah layan nya,
Bambang Setyawan,Tidak terlalu bagus jalan programnya dan terlalu banyak meminta permohonan yg tidak ada kaitannya dng my Pertamina,1,2024-10-07 10:59:33,Tidak terlalu bagus jalan programnya dan terlalu banyak meminta permohonan yg tidak ada kaitannya dng my Pertamina,Tidak terlalu bagus jalan programnya dan terlalu banyak meminta permohonan yg tidak ada kaitannya dng my Pertamina,tidak terlalu bagus jalan programnya dan terlalu banyak meminta permohonan yg tidak ada kaitannya dng my pertamina,"['tidak', 'terlalu', 'bagus', 'jalan', 'programnya', 'dan', 'terlalu', 'banyak', 'meminta', 'permohonan', 'yg', 'tidak', 'ada', 'kaitannya', 'dng', 'my', 'pertamina']",tidak terlalu bagus jalan program dan terlalu banyak minta mohon yg tidak ada kait dng my pertamina,
fajar putro,"kok bisa NIK sy sudah terdaftar padahal belum pernah sama sekali mendaftar subsidi ini.mohon maaf,sy sangat kecewa.",2,2024-10-07 10:58:07,kok bisa NIK sy sudah terdaftar padahal belum pernah sama sekali mendaftar subsidi inimohon maafsy sangat kecewa,kok bisa NIK sy sudah terdaftar padahal belum pernah sama sekali mendaftar subsidi inimohon maafsy sangat kecewa,kok bisa nik sy sudah terdaftar padahal belum pernah sama sekali mendaftar subsidi inimohon maafsy sangat kecewa,"['kok', 'bisa', 'nik', 'sy', 'sudah', 'terdaftar', 'padahal', 'belum', 'pernah', 'sama', 'sekali', 'mendaftar', 'subsidi', 'inimohon', 'maafsy', 'sangat', 'kecewa']",kok bisa nik sy sudah daftar padahal belum pernah sama sekali daftar subsidi inimohon maafsy sangat kecewa,
Muhammad Ridwan,Beli bahan bakar ribet disuru daftar gagal mulu....,1,2024-10-07 10:57:11,Beli bahan bakar ribet disuru daftar gagal mulu,Beli bahan bakar ribet disuru daftar gagal mulu,beli bahan bakar ribet disuru daftar gagal mulu,"['beli', 'bahan', 'bakar', 'ribet', 'disuru', 'daftar', 'gagal', 'mulu']",beli bahan bakar ribet disuru daftar gagal mulu,
Danang Mustang,Gasss!!!!,5,2024-10-07 10:56:14,Gasss,Gasss,gasss,['gasss'],gasss,
OkinZ,Pendaftaran susah .. Terjadi kesalahan terus ..,1,2024-10-07 10:54:15,Pendaftaran susah  Terjadi kesalahan terus ,Pendaftaran susah  Terjadi kesalahan terus ,pendaftaran susah  terjadi kesalahan terus ,"['pendaftaran', 'susah', 'terjadi', 'kesalahan', 'terus']",daftar susah jadi salah terus,
amir uddin,Mantap bagus. Kalau bisa di percepat Verifikasi barcode BBM bersubsidi nya,5,2024-10-07 10:47:51,Mantap bagus Kalau bisa di percepat Verifikasi barcode BBM bersubsidi nya,Mantap bagus Kalau bisa di percepat Verifikasi barcode BBM bersubsidi nya,mantap bagus kalau bisa di percepat verifikasi barcode bbm bersubsidi nya,"['mantap', 'bagus', 'kalau', 'bisa', 'di', 'percepat', 'verifikasi', 'barcode', 'bbm', 'bersubsidi', 'nya']",mantap bagus kalau bisa di cepat verifikasi barcode bbm subsidi nya,
Dayak Flores,Terimakasih,5,2024-10-07 10:45:04,Terimakasih,Terimakasih,terimakasih,['terimakasih'],terimakasih,
Pikuk Wae,"Disuruh masuk akun..setelah masuk akun aktivasi email, trus masuk akun lagi trus ativasi lagi, giliran daftar nik sudah terdaftar.",3,2024-10-07 10:42:40,Disuruh masuk akunsetelah masuk akun aktivasi email trus masuk akun lagi trus ativasi lagi giliran daftar nik sudah terdaftar,Disuruh masuk akunsetelah masuk akun aktivasi email trus masuk akun lagi trus ativasi lagi giliran daftar nik sudah terdaftar,disuruh masuk akunsetelah masuk akun aktivasi email trus masuk akun lagi trus ativasi lagi giliran daftar nik sudah terdaftar,"['disuruh', 'masuk', 'akunsetelah', 'masuk', 'akun', 'aktivasi', 'email', 'trus', 'masuk', 'akun', 'lagi', 'trus', 'ativasi', 'lagi', 'giliran', 'daftar', 'nik', 'sudah', 'terdaftar']",suruh masuk akunsetelah masuk akun aktivasi email trus masuk akun lagi trus ativasi lagi gilir daftar nik sudah daftar,
Wibowo,Membantu org kecil,5,2024-10-07 10:40:49,Membantu org kecil,Membantu org kecil,membantu org kecil,"['membantu', 'org', 'kecil']",bantu org kecil,
Rudi Wanto Setiawan,"Ga compitable, masa hrs google chrome",1,2024-10-07 10:26:32,Ga compitable masa hrs google chrome,Ga compitable masa hrs google chrome,ga compitable masa hrs google chrome,"['ga', 'compitable', 'masa', 'hrs', 'google', 'chrome']",ga compitable masa hrs google chrome,
HAERI ANSORI,Daftarnya mudah. Buja aplikasi pertamanya yang susah no hp sama pin tidak cocok terus,4,2024-10-07 10:17:27,Daftarnya mudah Buja aplikasi pertamanya yang susah no hp sama pin tidak cocok terus,Daftarnya mudah Buja aplikasi pertamanya yang susah no hp sama pin tidak cocok terus,daftarnya mudah buja aplikasi pertamanya yang susah no hp sama pin tidak cocok terus,"['daftarnya', 'mudah', 'buja', 'aplikasi', 'pertamanya', 'yang', 'susah', 'no', 'hp', 'sama', 'pin', 'tidak', 'cocok', 'terus']",daftar mudah buja aplikasi pertama yang susah no hp sama pin tidak cocok terus,
Arif Ajja,Ribet... verifikasi sudah sesuai tetap aja di tolak terus...,1,2024-10-07 10:15:17,Ribet verifikasi sudah sesuai tetap aja di tolak terus,Ribet verifikasi sudah sesuai tetap aja di tolak terus,ribet verifikasi sudah sesuai tetap aja di tolak terus,"['ribet', 'verifikasi', 'sudah', 'sesuai', 'tetap', 'aja', 'di', 'tolak', 'terus']",ribet verifikasi sudah sesuai tetap aja di tolak terus,
Made Lebah,Proses daftar & verifikasi sangat lambat !!!! Staff kerjanya apa ? Bisa kerja kagak ? Parah habis !!!!!! Gede nama doang !!!!! SAMPAHHHHH !!!,1,2024-10-07 10:11:56,Proses daftar  verifikasi sangat lambat  Staff kerjanya apa  Bisa kerja kagak  Parah habis  Gede nama doang  SAMPAHHHHH ,Proses daftar  verifikasi sangat lambat  Staff kerjanya apa  Bisa kerja kagak  Parah habis  Gede nama doang  SAMPAHHHHH ,proses daftar  verifikasi sangat lambat  staff kerjanya apa  bisa kerja kagak  parah habis  gede nama doang  sampahhhhh ,"['proses', 'daftar', 'verifikasi', 'sangat', 'lambat', 'staff', 'kerjanya', 'apa', 'bisa', 'kerja', 'kagak', 'parah', 'habis', 'gede', 'nama', 'doang', 'sampahhhhh']",proses daftar verifikasi sangat lambat staff kerja apa bisa kerja kagak parah habis gede nama doang sampahhhhh,
Pur Wanto,Blm bisa digunakan,5,2024-10-07 10:03:07,Blm bisa digunakan,Blm bisa digunakan,blm bisa digunakan,"['blm', 'bisa', 'digunakan']",blm bisa guna,
Samsi Dalle,Loading,1,2024-10-07 09:52:00,Loading,Loading,loading,['loading'],loading,
M.Adi Prastyo,Aplikasi g jelas sering eror,1,2024-10-07 09:39:07,Aplikasi g jelas sering eror,Aplikasi tidak jelas sering eror,aplikasi tidak jelas sering eror,"['aplikasi', 'tidak', 'jelas', 'sering', 'eror']",aplikasi tidak jelas sering eror,
Ary Jatmoko,Sekarang bagi yang sdh punya kendaraan di wajibkan install aplikasi mypertamina..tp ketika mau di pakai barcode nya..ngg mau ke buka,3,2024-10-07 09:35:20,Sekarang bagi yang sdh punya kendaraan di wajibkan install aplikasi mypertaminatp ketika mau di pakai barcode nyangg mau ke buka,Sekarang bagi yang sdh punya kendaraan di wajibkan install aplikasi mypertaminatp ketika mau di pakai barcode nyangg mau ke buka,sekarang bagi yang sdh punya kendaraan di wajibkan install aplikasi mypertaminatp ketika mau di pakai barcode nyangg mau ke buka,"['sekarang', 'bagi', 'yang', 'sdh', 'punya', 'kendaraan', 'di', 'wajibkan', 'install', 'aplikasi', 'mypertaminatp', 'ketika', 'mau', 'di', 'pakai', 'barcode', 'nyangg', 'mau', 'ke', 'buka']",sekarang bagi yang sdh punya kendara di wajib install aplikasi mypertaminatp ketika mau di pakai barcode nyangg mau ke buka,
Trias Budi R.,saya beri bintang 5 karena cuma butuh waktu 30 menit dari awal proses pendaftaran sampai terverifikasi.,5,2024-10-07 09:30:20,saya beri bintang  karena cuma butuh waktu  menit dari awal proses pendaftaran sampai terverifikasi,saya beri bintang  karena cuma butuh waktu  menit dari awal proses pendaftaran sampai terverifikasi,saya beri bintang  karena cuma butuh waktu  menit dari awal proses pendaftaran sampai terverifikasi,"['saya', 'beri', 'bintang', 'karena', 'cuma', 'butuh', 'waktu', 'menit', 'dari', 'awal', 'proses', 'pendaftaran', 'sampai', 'terverifikasi']",saya beri bintang karena cuma butuh waktu menit dari awal proses daftar sampai verifikasi,
fahmankemuning permai,Gak jelas aplikasinya mau verifikasi aja dipersulit tombol buat verifikasi nggak bisa di klik... Klo belum siap jangan dulu diluncurkan lah...,1,2024-10-07 09:24:22,Gak jelas aplikasinya mau verifikasi aja dipersulit tombol buat verifikasi nggak bisa di klik Klo belum siap jangan dulu diluncurkan lah,Gak jelas aplikasinya mau verifikasi aja dipersulit tombol buat verifikasi tidak bisa di klik Klo belum siap jangan dulu diluncurkan lah,gak jelas aplikasinya mau verifikasi aja dipersulit tombol buat verifikasi tidak bisa di klik klo belum siap jangan dulu diluncurkan lah,"['gak', 'jelas', 'aplikasinya', 'mau', 'verifikasi', 'aja', 'dipersulit', 'tombol', 'buat', 'verifikasi', 'tidak', 'bisa', 'di', 'klik', 'klo', 'belum', 'siap', 'jangan', 'dulu', 'diluncurkan', 'lah']",gak jelas aplikasi mau verifikasi aja sulit tombol buat verifikasi tidak bisa di klik klo belum siap jangan dulu luncur lah,
Trisna Orchid'16,"bagus ..tapi masih agak lemot untuk loading barcode d apk SPBU nya,",4,2024-10-07 09:10:15,bagus tapi masih agak lemot untuk loading barcode d apk SPBU nya,bagus tapi masih agak lemot untuk loading barcode d aplikasi SPBU nya,bagus tapi masih agak lemot untuk loading barcode d aplikasi spbu nya,"['bagus', 'tapi', 'masih', 'agak', 'lemot', 'untuk', 'loading', 'barcode', 'd', 'aplikasi', 'spbu', 'nya']",bagus tapi masih agak lot untuk loading barcode d aplikasi spbu nya,
Ade aryatna,Aplikasi mudah di gunakan ..masukan nya tolong dong di mutasi atau di aktifitas harus ada pemberitahuan setiap kita isi BBM jadi jika mobil di pinjam kita bisa ta di isi apa gk nya BBM nya...,4,2024-10-07 08:59:58,Aplikasi mudah di gunakan masukan nya tolong dong di mutasi atau di aktifitas harus ada pemberitahuan setiap kita isi BBM jadi jika mobil di pinjam kita bisa ta di isi apa gk nya BBM nya,Aplikasi mudah di gunakan masukan nya tolong dong di mutasi atau di aktifitas harus ada pemberitahuan setiap kita isi BBM jadi jika mobil di pinjam kita bisa ta di isi apa tidak nya BBM nya,aplikasi mudah di gunakan masukan nya tolong dong di mutasi atau di aktifitas harus ada pemberitahuan setiap kita isi bbm jadi jika mobil di pinjam kita bisa ta di isi apa tidak nya bbm nya,"['aplikasi', 'mudah', 'di', 'gunakan', 'masukan', 'nya', 'tolong', 'dong', 'di', 'mutasi', 'atau', 'di', 'aktifitas', 'harus', 'ada', 'pemberitahuan', 'setiap', 'kita', 'isi', 'bbm', 'jadi', 'jika', 'mobil', 'di', 'pinjam', 'kita', 'bisa', 'ta', 'di', 'isi', 'apa', 'tidak', 'nya', 'bbm', 'nya']",aplikasi mudah di guna masuk nya tolong dong di mutasi atau di aktifitas harus ada pemberitahuan tiap kita isi bbm jadi jika mobil di pinjam kita bisa ta di isi apa tidak nya bbm nya,
Rio Renaldi,Ribetttttttt bangetttttttt,1,2024-10-07 08:59:07,Ribetttttttt bangetttttttt,Ribetttttttt bangetttttttt,ribetttttttt bangetttttttt,"['ribetttttttt', 'bangetttttttt']",ribetttttttt bangetttttttt,
Bagus Safiih,"susah ribet, njlimet, program mcm apa ini, ???",1,2024-10-07 08:34:03,susah ribet njlimet program mcm apa ini ,susah ribet njlimet program mcm apa ini ,susah ribet njlimet program mcm apa ini ,"['susah', 'ribet', 'njlimet', 'program', 'mcm', 'apa', 'ini']",susah ribet njlimet program mcm apa ini,
abdillah viking,ngak usah di download klo buat QR code,1,2024-10-07 08:29:22,ngak usah di download klo buat QR code,tidak usah di download klo buat QR code,tidak usah di download klo buat qr code,"['tidak', 'usah', 'di', 'download', 'klo', 'buat', 'qr', 'code']",tidak usah di download klo buat qr code,
Sarno Biak,Bagus,5,2024-10-07 08:10:04,Bagus,Bagus,bagus,['bagus'],bagus,
Ari,"""Terjadi kesalahan pada proses tambah unit subsidi. Coba kembali beberapa saat"" Why...why...whyyy...mau heran, tapi..",1,2024-10-07 07:56:00,Terjadi kesalahan pada proses tambah unit subsidi Coba kembali beberapa saat Whywhywhyyymau heran tapi,Terjadi kesalahan pada proses tambah unit subsidi Coba kembali beberapa saat Whywhywhyyymau heran tapi,terjadi kesalahan pada proses tambah unit subsidi coba kembali beberapa saat whywhywhyyymau heran tapi,"['terjadi', 'kesalahan', 'pada', 'proses', 'tambah', 'unit', 'subsidi', 'coba', 'kembali', 'beberapa', 'saat', 'whywhywhyyymau', 'heran', 'tapi']",jadi salah pada proses tambah unit subsidi coba kembali beberapa saat whywhywhyyymau heran tapi,
Adrian Hilman,Apk sampah login OTP gak bisa²,1,2024-10-07 07:53:46,Apk sampah login OTP gak bisa,Apk sampah login OTP tidak bisa,apk sampah login otp tidak bisa,"['apk', 'sampah', 'login', 'otp', 'tidak', 'bisa']",apk sampah login otp tidak bisa,
pejuang analog,mana ini aplikasi buat ribet aja barcode susah di dapat padahal pengisian udh tepat klo belum siap jgn buatcaplikadi nya,1,2024-10-07 07:50:59,mana ini aplikasi buat ribet aja barcode susah di dapat padahal pengisian udh tepat klo belum siap jgn buatcaplikadi nya,mana ini aplikasi buat ribet aja barcode susah di dapat padahal pengisian udh tepat klo belum siap jgn buatcaplikadi nya,mana ini aplikasi buat ribet aja barcode susah di dapat padahal pengisian udh tepat klo belum siap jgn buatcaplikadi nya,"['mana', 'ini', 'aplikasi', 'buat', 'ribet', 'aja', 'barcode', 'susah', 'di', 'dapat', 'padahal', 'pengisian', 'udh', 'tepat', 'klo', 'belum', 'siap', 'jgn', 'buatcaplikadi', 'nya']",mana ini aplikasi buat ribet aja barcode susah di dapat padahal isi udh tepat klo belum siap jgn buatcaplikadi nya,
tiga Bersaudara,mantap,5,2024-10-07 07:48:03,mantap,mantap,mantap,['mantap'],mantap,
Dini Supartini,"Baru mau daftar my pertamina tapi keterangan nik sudah terdaftar, padahal sebelumnya belum pernah. Kenapa sulit sekali daftar bbm subsidi",1,2024-10-07 07:44:15,Baru mau daftar my pertamina tapi keterangan nik sudah terdaftar padahal sebelumnya belum pernah Kenapa sulit sekali daftar bbm subsidi,Baru mau daftar my pertamina tapi keterangan nik sudah terdaftar padahal sebelumnya belum pernah Kenapa sulit sekali daftar bbm subsidi,baru mau daftar my pertamina tapi keterangan nik sudah terdaftar padahal sebelumnya belum pernah kenapa sulit sekali daftar bbm subsidi,"['baru', 'mau', 'daftar', 'my', 'pertamina', 'tapi', 'keterangan', 'nik', 'sudah', 'terdaftar', 'padahal', 'sebelumnya', 'belum', 'pernah', 'kenapa', 'sulit', 'sekali', 'daftar', 'bbm', 'subsidi']",baru mau daftar my pertamina tapi terang nik sudah daftar padahal belum belum pernah kenapa sulit sekali daftar bbm subsidi,
ayi juanda,"Pakai mypertamina semua kebutuhan jadi mudah,terima kasih mypertamina",5,2024-10-07 07:43:57,Pakai mypertamina semua kebutuhan jadi mudahterima kasih mypertamina,Pakai mypertamina semua kebutuhan jadi mudahterima kasih mypertamina,pakai mypertamina semua kebutuhan jadi mudahterima kasih mypertamina,"['pakai', 'mypertamina', 'semua', 'kebutuhan', 'jadi', 'mudahterima', 'kasih', 'mypertamina']",pakai mypertamina semua butuh jadi mudahterima kasih mypertamina,
yoga mourinho,RIBET!,2,2024-10-07 07:34:13,RIBET,RIBET,ribet,['ribet'],ribet,
Deni Prasetiawan,Belum coba,5,2024-10-07 07:30:38,Belum coba,Belum coba,belum coba,"['belum', 'coba']",belum coba,
Ezra Nugraheni,Mengapa pada saat mendaftar tidak bisa masuk / log in dengan PIN yang sudah didaftarkan?,1,2024-10-07 07:16:56,Mengapa pada saat mendaftar tidak bisa masuk  log in dengan PIN yang sudah didaftarkan,Mengapa pada saat mendaftar tidak bisa masuk  log in dengan PIN yang sudah didaftarkan,mengapa pada saat mendaftar tidak bisa masuk  log in dengan pin yang sudah didaftarkan,"['mengapa', 'pada', 'saat', 'mendaftar', 'tidak', 'bisa', 'masuk', 'log', 'in', 'dengan', 'pin', 'yang', 'sudah', 'didaftarkan']",mengapa pada saat daftar tidak bisa masuk log in dengan pin yang sudah daftar,
Riau roster,Oke,5,2024-10-07 07:13:46,Oke,Oke,oke,['oke'],oke,
ANDREAS WAHYUDI,TIDAK BISA DIBUKA ALIAS ERROR,1,2024-10-07 07:13:08,TIDAK BISA DIBUKA ALIAS ERROR,TIDAK BISA DIBUKA ALIAS ERROR,tidak bisa dibuka alias error,"['tidak', 'bisa', 'dibuka', 'alias', 'error']",tidak bisa buka alias error,
Prasetiyo Anwar,BARU MAU BIKIN AKUN AJA SUSAH NYA MINTA AMPUN!!!! PAAAYAAAAH!!!,1,2024-10-07 06:58:29,BARU MAU BIKIN AKUN AJA SUSAH NYA MINTA AMPUN PAAAYAAAAH,BARU MAU BIKIN AKUN AJA SUSAH NYA MINTA AMPUN PAAAYAAAAH,baru mau bikin akun aja susah nya minta ampun paaayaaaah,"['baru', 'mau', 'bikin', 'akun', 'aja', 'susah', 'nya', 'minta', 'ampun', 'paaayaaaah']",baru mau bikin akun aja susah nya minta ampun paaayaaaah,
Djodi Firman,"For the time being, Good and the best",5,2024-10-07 06:42:44,For the time being Good and the best,For the time being Good and the best,for the time being good and the best,"['for', 'the', 'time', 'being', 'good', 'and', 'the', 'best']",for the time being good and the best,
Rochmad Ikhsanudin,Pendaftaran susah selalu di tolak alasan nik & foto KTP tidak sama. Alasan tdk masuk akal,1,2024-10-07 06:31:00,Pendaftaran susah selalu di tolak alasan nik  foto KTP tidak sama Alasan tdk masuk akal,Pendaftaran susah selalu di tolak alasan nik  foto KTP tidak sama Alasan tidak masuk akal,pendaftaran susah selalu di tolak alasan nik  foto ktp tidak sama alasan tidak masuk akal,"['pendaftaran', 'susah', 'selalu', 'di', 'tolak', 'alasan', 'nik', 'foto', 'ktp', 'tidak', 'sama', 'alasan', 'tidak', 'masuk', 'akal']",daftar susah selalu di tolak alas nik foto ktp tidak sama alas tidak masuk akal,
Wawan Setiawan,Good,5,2024-10-07 06:25:40,Good,Good,good,['good'],good,
RIZAL BTR,Burik,1,2024-10-07 05:55:16,Burik,Burik,burik,['burik'],burik,
Sutopo Hartawan,Berbelit beli daptarnya,1,2024-10-07 04:07:19,Berbelit beli daptarnya,Berbelit beli daptarnya,berbelit beli daptarnya,"['berbelit', 'beli', 'daptarnya']",belit beli daptarnya,
Sugeng Puji,Lemot,1,2024-10-07 01:55:37,Lemot,Lemot,lemot,['lemot'],lot,
D3 TE_DIKI MORALIS,"Tolong tambahin pembayaran kartu debit BCA dong min masa cuman Mandiri, BRI,BNI :(",3,2024-10-07 01:25:55,Tolong tambahin pembayaran kartu debit BCA dong min masa cuman Mandiri BRIBNI ,Tolong tambahin pembayaran kartu debit BCA dong min masa cuman Mandiri BRIBNI ,tolong tambahin pembayaran kartu debit bca dong min masa cuman mandiri bribni ,"['tolong', 'tambahin', 'pembayaran', 'kartu', 'debit', 'bca', 'dong', 'min', 'masa', 'cuman', 'mandiri', 'bribni']",tolong tambahin bayar kartu debit bca dong min masa cuman mandiri bribni,
Eko Bhe,Pengaduan terlalu lama butuh 14 hari..,1,2024-10-07 00:33:09,Pengaduan terlalu lama butuh  hari,Pengaduan terlalu lama butuh  hari,pengaduan terlalu lama butuh  hari,"['pengaduan', 'terlalu', 'lama', 'butuh', 'hari']",adu terlalu lama butuh hari,
Naldi Tanidja,gagal² repot² ulang lagi². masyarakat dibikin persulit,1,2024-10-07 00:26:13,gagal repot ulang lagi masyarakat dibikin persulit,gagal repot ulang lagi masyarakat dibikin persulit,gagal repot ulang lagi masyarakat dibikin persulit,"['gagal', 'repot', 'ulang', 'lagi', 'masyarakat', 'dibikin', 'persulit']",gagal repot ulang lagi masyarakat bikin sulit,
